sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_hat_disp_y_tip,status
434,4.2973634457261817e-01,2.1579124496920746e+11,1.0429736344572618e+00,-1.8160078012575263e-06,-1.8238059931421805e-06,"ok"
435,-3.2070301459391209e-01,2.0026465462805197e+11,9.6792969854060884e-01,-1.9568035359802012e-06,-1.9588585490151999e-06,"ok"
436,1.3047603925289369e-01,2.0959954925214236e+11,1.0130476039252894e+00,-1.8696537550098712e-06,-1.8701767480645793e-06,"ok"
437,-1.4438331390312047e+00,1.7702709235344437e+11,8.5561668609687946e-01,-2.2136644685222296e-06,-2.2572320217749841e-06,"ok"
438,-2.3690527642613832e-01,2.0199842983074319e+11,9.7630947235738619e-01,-1.9400080715168513e-06,-1.9432151508158511e-06,"ok"
439,-1.2370047572918756e+00,1.8130637157163110e+11,8.7629952427081248e-01,-2.1614165068298544e-06,-2.1664927389803721e-06,"ok"
440,-4.3829404756426976e-01,1.9783169615589526e+11,9.5617059524357306e-01,-1.9808685459513939e-06,-1.9663636278765561e-06,"ok"
441,-7.7231212307961386e-02,2.0530208621734827e+11,9.9227687876920379e-01,-1.9087900738296168e-06,-1.8767236792823705e-06,"ok"
442,1.5538289794012108e+00,2.3904872158381104e+11,1.1553828979401211e+00,-1.6393251622995019e-06,-1.6271827288139416e-06,"ok"
443,1.7726451208589783e-01,2.1056760275505722e+11,1.0177264512085897e+00,-1.8610582975772785e-06,-1.8592477705128407e-06,"ok"
444,9.4881864476854905e-01,2.2653105776026129e+11,1.0948818644768550e+00,-1.0763566682402600e-07,-1.7746862274743846e-07,"ok"
445,-7.9692021307346994e-01,1.9041172079150992e+11,9.2030797869265302e-01,-2.0580591503457018e-06,-2.0676838023466775e-06,"ok"
446,1.2123014860561816e+00,2.3198251774650238e+11,1.1212301486056180e+00,-1.6892591222577672e-06,-1.6528313637251581e-06,"ok"
447,1.2987746774032130e+00,2.3377164807547247e+11,1.1298774677403214e+00,-1.6763306736865654e-06,-1.6666829222396554e-06,"ok"
